,url,header,text
49,https://leader-id.ru/specials/openselection-asi/,Открытый отбор общественных представителей АСИ,"







Документы





 Положение об общественных представителях  в субъектах Российской Федерации. Утверждено решением Дирекции от «20» сентября 2016.pdf








 Кейс - требования.docx








 Анкета на общественного представителя АСИ.docx







Агентство стратегических инициатив объявляет открытый отбор общественных представителей по направлению «Новый бизнес» в 32 регионах России.
Агентство стратегических инициатив (АСИ) объявляет открытый отбор общественных представителей в следующих регионах:
Дальневосточный федеральный округ

Сахалинская область
Чукотский автономный округ

Приволжский федеральный округ

Пензенская область
Республика Татарстан
Кировская область
Ульяновская область

Северо-Западный федеральный округ

Калининградская область
Ненецкий автономный округ
Новгородская область
Псковская область
Республика Карелия
Республика Коми

Северо-Кавказский федеральный округ

Карачаево-Черкесская Республика
Ставропольский край

Сибирский федеральный округ

Иркутская область
Новосибирская область
Омская область
Республика Бурятия
Республика Тыва

Уральский федеральный округ
       •  Свердловская область
Центральный федеральный округ  

Белгородская область
Брянская область
Владимирская область
Калужская область
Костромская область
Смоленская область
Тверская область
Тульская область

Южный федеральный округ

Краснодарский край
Республика Адыгея
Ростовская область
Республика Крым

БАЗОВЫЕ ТРЕБОВАНИЯ К КАНДИДАТУ:
• Наличие опыта достижения значимого результата;
• Коммуникационные навыки;
• Знание региона;
• Аналитические, управленческие навыки;
• Лидер;
• Эксперт в соответствующей области;
• Имеет возможность работать на общественных началах, так как должность общественного представителя АСИ является внештатной и не оплачивается.
Общественный представитель привлекается к сотрудничеству для реализации целей деятельности Агентства и выполняет следующие функции:

внедрение в субъектах Российской Федерации инициатив, разработанных, либо поддерживаемых направлениями и ключевыми департаментами Агентства;
выявление лидерских и системных проектов, лучших практик развития
	в субъектах Российской Федерации, соответствующих целям и задачам деятельности Агентства;
продвижение инициатив по улучшению предпринимательского климата, содействие преодолению административных барьеров при реализации проектов и инициатив соответствующих направлений и ключевых департаментов Агентства;
сотрудничество (или взаимодействие) с другими общественными представителями Агентства в регионе для повышения эффективности результатов деятельности;
организация межрегионального обмена лучшими практиками внедрения инициатив Агентства;
взаимодействие Агентства с региональными органами власти, территориальными органами федеральных органов исполнительной власти, бизнес-ассоциациями и региональными отделениями общероссийских общественных объединений, институтами развития и экспертным сообществом;
  развитие сообщества Агентства через вовлечение региональных лидеров в повестку Агентства и консолидация их вокруг общественных представителей Агентства в регионах;
расширение присутствия повестки Агентства в информационном поле регионов, как через средства массовой информации (СМИ) и официальные онлайн-сервисы и веб-сайты в сети Интернет (в том числе социальные сети), так и через адресное донесение информации целевым аудиториям;
иные цели, в рамках которых решаются задачи Агентства.

ДОКУМЕНТЫ К ЗАЯВКЕ КАНДИДАТА:
• Анкета кандидата (заполненная разборчиво и подписанная).
• Решение Кейса АСИ.
• Сканы рекомендаций (3 шт.).

С 27 марта по 21 апреля 2017 года – приём заявок (анкета кандидата, фото, решение кейса, рекомендательные письма (не менее 3х рекомендаций).
С 22 апреля по 19 мая 2017 года – оценка полученных анкет, формирование списка финалистов.
С 22 мая по 24 мая 2017 - приглашение кандидатов на публичный отбор.
07 июня 2017 -  проведение публичного этапа открытого отбора в городе Москве на площадке АСИ «Точка кипения»
09 июня 2017 года – объявление результатов открытого отбора, публикация на сайте Агентства.

При возникновении вопросов, направляйте их на адрес: KonkursOP@asi.ru
Мы предлагаем вам присоединиться к нашей команде и вместе построить страну, 
в которой хочется жить и работать!
Если у вас возникли сложности с подачей заявки или вы хотите внести изменения в уже поданную заявку, пишите запрос на почту и наш специалист свяжется с вами: users@leader-id.ru




"
52,https://leader-id.ru/specials/ff-school-nti/,Форсайт-школа НТИ,"







Документы





 Общее описание Форсайт-школы НТИ








 Методичка 0.3. Rapid Foresight








 Презентация о рынке БПЛА







С 5 марта по 10 апреля проводится Форсайт-школа для модераторов Национальной технологической инициативы (НТИ). Основная задача школы - подготовка модераторов, способных ориентироваться в новых рынках и технологиях, уметь сформировать команду из участников форсайт-группы, управлять процессом разработки дорожных карт, собрать и оформить результаты работы группы.
Для  решения этой задачи в программу включены следующие учебные модули:

освоение метода Rapid Foresight (от определения цели до отчетной документации) - теоретическая подготовка и форсайт-практикумы;
методико-технологический инструментарий модератора: от способов организации мышления и инструментов решения задач до игровых методов работы с коллективными смыслами;
основы групповой коммуникации: от базовых принципов и функциональных позиций до конкретных методик;
групповая динамика, групповая коммуникация как инструмент управления групповой динамикой;
игропрактическая лаборатория. Большая игра «Управление конфликтом. Принятие коллективных решений»;
проекты и программы развития, понятие инноваций и модернизационных проектов.

Все полученные знания и навыки выпускники школы будут применять в ходе стратегических сессий по разработке Дорожных карт НТИ на Форсайт-флоте 2015 года. Обучение будет строиться по принципу «перевернутого урока»: теоретические основы участники Форсайт-школы будут осваивать самостоятельно,  практическую отработку знаний и навыков - проходить на занятиях. В конце учебного курса участники Форсайт-школы подготовят отчетные презентации результатов проведенных сессий.
Обучение бесплатное. Основные занятия проводятся по схеме: вторник, среда, четверг с 18:00 до 22:00 и суббота с 10:00 - 18:00. 




"
54,https://leader-id.ru/specials/educationglobal/,Глобальное образование,"







Документы





 Презентация о поступлении в зарубежный вуз








 Презентация для работодателей








 Брошюра о программе








 Презентация с пресс-конференции








 Презентация программы







О Программе
Программа «Глобальное образование» - это государственная программа социальной поддержки граждан Российской Федерации, самостоятельно поступивших в ведущие иностранные образовательные организации и обучающихся в них по специальностям и направлениям подготовки, качество обучения по которым соответствует лучшим мировым стандартам, и обеспечения их трудоустройства в организации, зарегистрированные на территории Российской Федерации, в соответствии с полученной квалификацией.
Программа утверждена постановлением Правительства Российской Федерации от 20 июня 2014 года №568.
Программа финансирования обучения за границей для граждан Российской Федерации направлена на сохранение и приумножение научных, педагогических, медицинских и инженерных кадров, управленческих кадров в социальной сфере, а также на поддержку граждан Российской Федерации, самостоятельно поступивших в ведущие иностранные образовательные организации, и их последующее трудоустройство.
За период с 2014 по 2016 год планируется выделить грант на обучение не менее 718 граждан Российской Федерации.
В Программе участвуют 288 ведущих зарубежных университетов в 32 странах мира. 
Порядок участия в Программе и требования к участнику
Принять участие в Программе и получить грант на обучение в магистратуре, аспирантуре и ординатуре в ведущих зарубежных университетах по направлениям медицина, наука, инженерия, образование и управление в социальной сфере может гражданин Российской Федерации, подавший заявку на официальном сайте Программы, соответствующий требованиям и условиям Программы и ставший победителем конкурсного отбора. В год проходит несколько конкурсных отборов, в рамках которых наблюдательным советом Программы утверждаются списки участников Программы.
Даты конкурсных отборов
В 2015 году планируется проведение 4 конкурсных отборов на участие в Программе:

1 конкурсный отбор 2015 года: с 11 декабря 2014 года до 22 марта 2015 года;
2 конкурсный отбор 2015 года: с 23 марта по  7 июня 2015 года;
3 конкурсный отбор 2015 года: с 8 июня по 6 сентября 2015 года;
4 конкурсный отбор 2015 года: c 7 сентября по 8 ноября 2015 года.

Даты проведения конкурсных отборов в 2016 году будут опубликованы на сайте в конце 2015 года.
Требования к кандидату на участие в Программе:

гражданство Российской Федерации;
наличие документа о поступлении или обучении в ведущей иностранной образовательной организации, включенной в перечень иностранных образовательных организаций, утвержденный распоряжением Правительства Российской Федерации от 15 июня 2015 г. №1101-р по образовательной программе магистратуры, аспирантуры или ординатуры очного обучения (full time);
отсутствие непогашенной судимости или неснятой судимости;
наличие документа об образовании и о квалификации (диплома бакалавра или специалиста (дипломированного специалиста);
отсутствие на момент регистрации в электронной очереди оснований для освобождения участника Программы от исполнения обязательств по трудоустройству согласно пункту 4 Правил возврата средств.

Для участия в Программе необходимо зарегистрироваться и подать заявку на официальном сайте Программы http://educationglobal.ru/ и предоставить оператору Программы, которым является Московская школа управления СКОЛКОВО, комплект конкурсных документов. Регистрация в программе доступна по ссылке при нажатии кнопки «Регистрация» на странице выше. 
Перечень ведущих иностранных образовательных организаций, участвующих в Программе, а также перечень образовательных программ, соответствующих требованиям Программы, можно посмотреть на официальном сайте Программы http://educationglobal.ru/. 
Дополнительную информацию о Программе и участии в ней можно получить по телефону горячей линии 8-800-50-50-623 или по электронной почте globaledu@skolkovo.ru




"
55,https://leader-id.ru/specials/university_NTI/,Конкурсный отбор проектов и проектных команд по развитию университетов в рамках Национальной технологической инициативы,"





Объявлен конкурсный отбор проектов и проектных команд по развитию университетов в рамках Национальной технологической инициативы
Российская венчурная компания (РВК) совместно с Агентством стратегических инициатив (АСИ) открывает прием заявок от проектных команд на вхождение в состав университетской рабочей группы Национальной технологической инициативы (НТИ).
Современный университет – это ядро общества знаний и важнейший канал трансфера технологий, это институт общества, выполняющий роль инновационного хаба в экономике государства. Такой университет является основой для формирования рынков НТИ, и мы называем его «Университетом НТИ».
Университет НТИ – это

подготовка профессионалов для рынков НТИ и работа с талантами – драйверами будущего развития,  
прикладные и, возможно, фундаментальные исследования по тематикам НТИ,
эффективные связи с бизнес-сообществом,
инновационная инфраструктура (центры трансфера технологий, бизнес-инкубаторы, технопарки и т.д.)

и, как следствие,

эффективное управление интеллектуальной собственностью,  коммерциализация разработок и генерация новых бизнесов на рынках НТИ.

Таким образом, Университет НТИ - это российская модель реализации концепции Университета 3.0.
Конкурсный отбор пройдет в 3 этапа:
I этап: 28 марта – 10 апреля 2016 года – прием заявок от проектных команд;
II этап: 10 апреля – 15 апреля 2016 года – заочное рассмотрение проектов;
III этап: 21 апреля – 22 апреля 2016 года – очные презентации проектов-финалистов.
По итогам очных презентаций проектов будут определены лучшие проектные команды, которые примут участие в Форсайт-флоте 2016 года и смогут включить свои проекты в университетскую дорожную карту НТИ.
Для участия в I этапе необходимо представить концепцию проекта развития вашего университета до формата Университета НТИ в виде 4 слайдов инфографики (в формате pdf).
В презентации постарайтесь ответить на следующие вопросы.

Как найти и привлечь лучшие таланты? Как сформировать лучшие траектории их обучения и развития? Как превратить их в высококлассных предпринимательски мыслящих специалистов, которые внесут заметный вклад в развитие рынков НТИ?
Как создать в университете лучшую среду для развития R&D совместно с бизнес-сообществом в русле тематик НТИ?
Как создать в университете эффективную систему трансфера технологий, позволяющую коммерциализировать накопленные знания и разработки в целях НТИ?
Кто входит в вашу проектную команду и каковы ваши ключевые компетенции, которые позволят реализовать данный проект? Какие ресурсы вы планируете использовать?

По результатам заочного рассмотрения, авторы лучших проектов будут приглашены на очный этап отбора, который пройдет в Москве 21-22 апреля в рамках Форума «Экосистема инноваций: Университеты и научные центры». Формат презентации на очном отборе – не более 4 минут на выступление и 2 минут на ответы на вопросы от членов жюри.
Напоминаем, что заявки принимаются до 10 апреля 2016 года.
Контактное лицо: Александра Энговатова, UniversityNTI@gmail.com




"
56,https://leader-id.ru/specials/directorium/,Директориум,"






 

Вы можете заявить о своем желании вступить в реестр профессиональных директоров Ассоциации «Директориум», либо о желании получать информацию о проводимых мероприятиях Проф.сообщества, в том числе закрытых. После получения заявки на указанный в Вашей анкете e-mail придет запрос на подтверждение  и более подробная информация. 
 
Профессиональное сообщество директоров Агентства стратегических инициатив.
 
Ассоциация «Профессиональное сообщество «Директориум» создана в соответствие с соглашением о сотрудничестве от 22.06.2013 между АСИ и Росимуществом. Она объединяет более 600 профессионалов, треть из которых избраны в советы директоров и ревизионные комиссии компаний с государственным участием. 
Деятельность Ассоциации направлена на повышение эффективности управления имуществом, в том числе через развитие существующих и создание новых механизмов корпоративного управления, одним из которых является институт профессиональных директоров.
Ассоциация является разработчиком проекта профессионального стандарта «Член коллегиального органа управления».
Также на сегодняшний день Ассоциация является исполнителем по социально значимому проекту «Рейтинг Директориум — Разработка и апробация методики рейтингования (оценки) предприятий с государственным участием по показателям эффективности финансово-хозяйственной деятельности», реализуемого в соответствии с грантовым направлением (распоряжение Президента Российской Федерации Владимира Путина №79-рп от 01.04.2015г.).
 
 




"
58,https://leader-id.ru/specials/openselection_region21/,Открытый отбор общественных представителей в регионах (июль 2016),"







Документы





 1. Требования к Общественным представителями МП.docx








 2. Согласие на обработку персональных данных.docx








 4. Кейс для ОП МП на заочный этап.doc








 3. Анкета ОП_резюме.docx







Направление «Молодые профессионалы» Агентства стратегических инициатив (АСИ) проводит Открытый отбор общественных представителей в регионах
Команда направления «Молодые профессионалы» АСИ ищет амбициозных, активных, известных в регионе лидеров и экспертов в образовательной и научно-технической областях,  знающих текущую ситуацию в образовании и кадровом обеспечении экономики региона и готовых внести свой вклад в сохранение и преумножение человеческого капитала на территории.
Мы ждем лидеров, готовых сформировать новую образовательную повестку региона, основанную на перспективных потребностях экономики, учитывающую новые формы и способы обучения и получения знаний, умений и навыков.
Роль общественных представителей направления «Молодые профессионалы» заключается в содействии в реализации на территории региона проектов и инициатив, поддержанных Агентством, а именно:

содействие внедрению регионального стандарта кадрового обеспечения промышленного роста;
содействие реализации образовательных проектов и инициатив, осуществляемых в рамках Национальной технологической инициативы;
выявление лучших образовательных практик в регионе,  а также образовательных проектов и инициатив;
взаимодействие с региональными органами власти, общественными объединения и организациями, институтами развития и экспертным сообществом с целью применения лучших образовательных практик других субъектов.
сотрудничество (или взаимодействие) с общественными представителями Агентства в регионе по другим направлениям для повышения эффективности результатов деятельности.

 
Общественный представитель не является штатным сотрудником АСИ и работает на безвозмездной основе.
Отбор проводится в следующих регионах:

Белгородская область
Владимирская область
Краснодарский край
Красноярский край
Липецкая область
Мурманская область
Нижегородская область
Новосибирская область
Пермский край
Республика Саха (Якутия)
Республика Татарстан
Самарская область
Свердловская область
Тамбовская область
Тульская область
Тюменская область
Ульяновская область
Хабаровский край
Челябинская область
Чувашская республика
Ярославская область

Отбор будет проходит в 3 этапа.
На первом этапе кандидатам необходимо создать профиль (зарегистрироваться) в информационной системе поддержки лидеров АСИ Leader-id (leader-id.ru) и подать заявку, а именно: заполнить анкету, согласие на обработку персональных данных и решить кейс. Прием заявок осуществляется до 12 июля.
На втором этапе кандидаты, предложившие наиболее интересные решения кейса, пройдут тестирование на платформе «Тестирования и профориентации» и примут участие в очном этапе отбора и обучения, который состоится 22-23 июля 2016 года в 75 павильоне ВДНХ в рамках Форума стратегических инициатив.
Третий этап - финальные собеседования. 
Желаем удачи!




"
59,https://leader-id.ru/specials/selection_competencecenter/,Открытый отбор управленческих кадров Межрегиональных центров компетенций,"







Описание вакансий





 1. Требования_Руководитель Учебного центра МЦК.docx








 2. Требования_Руководитель Тренировочного полигона  МЦК.docx





Кейсы к вакансиям





 1. Кейс ОБЩИЙ для двух должностей.docx








 2. Кейсы для Руководителя учебного центра.docx








 3. Кейсы для руководителя Тренировочного полигона.docx







Министерство образования и науки РФ, Союз «Ворлдскиллс Россия» совместно с Агентством стратегических инициатив проводит открытый конкурсный отбор кандидатов на позиции руководителя Учебного центра и руководителя Тренировочного полигона Межрегиональных центров компетенций. Отбор кандидатов проводится в 3 этапа и должен завершиться до 20 августа текущего года.
Условия работы для позиций определены Министерством образования и науки РФ и Союзом «Ворлдскиллс Россия» соответствующие федеральному уровню. Для кандидатов предусмотрена возможность переезда в другой регион на период реализации проекта.
Для участия в открытом отборе кандидатов на позиции руководителя Учебного центра и руководителя Тренировочного полигона необходимо:
1) зарегистрироваться в системе в информационной системе поддержки лидеров АСИ Leader-id (leader-id.ru);
2) выполнить тестовые задания: кейс общий для двух должностей и один кейс на выбор, в зависимости от выбранной должности;
3) подать заявку на участие, прикрепить решение кейсов и резюме.
Порядок проведения отбора:
До 5 августа – прием заявок от кандидатов;
До 11 августа – экспертиза заявок и оценка качества решения кейсов экспертной комиссией;
18-19 августа 2016 года в Москве проведение очного этапа отбора для кандидатов, предложивших наиболее интересные решения;
До 27 августа проведение финальных собеседований.
Кандидаты, не получившие предложения о трудоустройстве, но показавшие высокие результаты, будут зачислены в кадровый резерв МЦК.




"
61,https://leader-id.ru/specials/test/,Тест,"





Тест




"
62,https://leader-id.ru/specials/selection_generalnydirector/,Открытый отбор на позицию генерального директора ОАО «Российская венчурная компания» (ОАО «РВК»),"







Описание вакансий





 Профиль вакансии.doc







Готовы изменить судьбу страны? Хотите повлиять на позиции России в борьбе за технологическое лидерство? Способны продемонстрировать свое видение приоритетов технологического развития? Сумеете взять колоссальную ответственность за ключевое направление экономической политики? Способны сформировать для реализации этой задачи амбициозную профессиональную команду? Тогда пробуйте!
Министерство экономического развития Российской Федерации совместно с Агентством стратегических инициатив проводит Открытый отбор на позицию генерального директора ОАО «Российская венчурная компания» (ОАО «РВК»).
Последние пять лет усилия Институтов развития были направлены на создание базовых элементов инновационной инфраструктуры, развитие профессиональных компетенций участников системы, стимулирование развития новых перспективных рынков и на поддержку инновационных проектов.
Новая технологическая революция бросает России новые вызовы. Взрывное развитие и распространение новых технологий, их проникновение во все сферы человеческой деятельности приводят  к быстрым и драматическим изменениям на глобальных рынках. Сегодня создание и развитие отраслей нового технологического уклада является приоритетом государственной экономической политики.
Право управления ОАО «РВК» получит тот, кто сможет представить наиболее убедительную стратегию развития компании, учитывающую приоритеты действующей государственной политики и предполагающую обоснованный выбор ее позиционирования среди других институтов развития.
Важнейшим критерием при оценке кандидата станут его опыт и компетенции в области экономики и финансов, корпоративного, государственного и публичного управления, глубокие знания венчурного рынка и основных мировых трендов технологического развития. Преимуществом для кандидата станет профессиональная команда, с которой он готов реализовать поставленные перед ОАО РВК задачи.
Заявки от кандидатов принимаются до 15 августа (включительно) 2016 года.
На первом этапе кандидатам необходимо выполнить задание: представить предложение по стратегии ОАО РВК на 2017-2020 годы и на перспективу, в котором определить способы решения задач по поддержке реализации Национальной технологической инициативы, развитию венчурного рынка и экосистемы в интересах технологического развития страны.
Формат представления - презентация на 10 слайдов плюс эссе не более 10 страниц описания.
Дополнительным преимуществом заявителя будет являться наличие команды, готовой реализовать заявленную Стратегию НТИ.
 
До 25 августа 2016 года экспертная комиссия отберет заявки для финального очного этапа, который состоится в первой декаде сентября.
 
Дополнительная информация для подготовки задания первого этапа:

Выступление Президента РФ на ПМЭФ 
Выступление Председателя Правительства РФ на ПСМ 
Информация о НТИ 





"
63,https://leader-id.ru/specials/openselection_monogorod_manager/,Открытый отбор линейных менеджеров (кураторов моногородов),"







Описание вакансий





 Профиль должности Консультант (Линейный менеджер).docx





Кейсы к вакансиям





 Кейс.docx





Анкеты





 Анкета кандидата.docx







Фонд развития моногородов объявляет о начале открытого отбора кадрового резерва на замещение 29 вакансий линейных менеджеров проектного офиса Фонда развития моногородов, курирующих развитие моногородов Российской Федерации.
Деятельность линейных менеджеров осуществляется в рамках реализации приоритетного направления стратегического развития Российской Федерации до 2018 года и на период до 2025 года «Моногорода».
Основная задача линейного менеджера – сопровождение разработки и реализации программ развития моногородов, направленных на:

привлечение инвестиций и создание новых рабочих мест;
повышение удовлетворенности населения жизнью в моногородах;
развитие малого и среднего предпринимательства;
диверсификацию экономики моногородов.

Его деятельность осуществляется в следующих направлениях:

повышение инвестиционной привлекательности моногорода и создание условий для развития МСП;
привлечение и содействие реализации инвестиционных проектов. Формирование базы типовых проектов;
содействие получению мер финансовой и нефинансовой поддержки;
развитие объектов социальной инфраструктуры и городской среды;
развитие объектов транспортной и коммунальной инфраструктуры.

Отбор будет происходить в несколько этапов на основании соответствия кандидатов профилю должности, качества выполнения заданий и личного собеседования.
На первом этапе кандидатам необходимо выполнить базовое задание по одной из представленных тем в требуемом формате. Заявки от кандидатов принимаются до 22 августа (включительно) 2016 года.
До 25 августа 2016 года экспертная комиссия отберет заявки для финального этапа собеседований (очных или дистанционных), о которых финалисты будут уведомлены.
Прошедшие отбор будут зачисляться в штат Фонда развития моногородов в соответствии с волновым графиком расширения деятельности проектного офиса Фонда с сентября по декабрь 2016 года.
Вас ждет интересная, многогранная и сложная работа в коллективе единомышленников на самом острие проблем реализации проектов развития моногородов.
 




"
64,https://leader-id.ru/specials/trainees_NTI/,(Старый) Агентство стратегических инициатив объявляет постоянный отбор стажеров и волонтеров в направление «Молодые профессионалы».,"







Кейсы к вакансиям





 КЕЙС НА ПОЗИЦИЮ СТАЖЕРА В ДЕПАРТАМЕНТ ПРОЕКТОВ И ПРАКТИК НАПРАВЛЕНИЯ «МОЛОДЫЕ ПРОФЕССИОНАЛЫ».docx







Агентство стратегических инициатив объявляет постоянный отбор стажеров и волонтеров в направление «Молодые профессионалы».
 
Команда «Молодых профессионалов» открывает постоянный отбор стажеров и волонтеров для проектов, связанных с реализацией ключевых задач Агентства, в том числе для  масштабного прорывного проекта — Национальной технологической инициативы (НТИ).
Нам нужны молодые люди, способные выполнять задачи в условиях неопределенности и ограниченности ресурсов. Нам нужны студенты и волонтеры, которые мыслят системно, свободны от стереотипов, и умеют быстро усваивать и анализировать большое количество новой информации.
Практика в направлении «Молодые профессионалы» - это возможность участвовать в работе проектных, творческих команд, включающих в себя экспертов из профессиональных сообществ, исследовательских центров и профильных министерств.
Чтобы стать стажером в нашей команде, нужно создать профиль на leader-id.ru, подать заявку, прикрепить резюме и выполнить тестовое задание.
Авторам лучших решений будет предложена стажировка в Агентстве стратегических инициатив по продвижению новых проектов. Стажировка не является оплачиваемой.
 




"
65,https://leader-id.ru/specials/competence_ws/,Отбор проектов для создания новых компетенций FutureSkills,"







Материалы





 Отбор новых компетенций Worldskills.pptx








 Пример презентации по компетенции.pdf








 Регламент ввода новой компетенции.pdf







Агентство стратегический инициатив совместно с Союзом «Молодые профессионалы (Ворлдскиллс Россия)» начинает отбор проектов для создания новых компетенций FutureSkills, а также для включения в существующие компетенции.
ЦЕЛЬ ОТБОРА:
Поиск существующих проектов готовых интегрироваться в систему подготовки кадров.
ЧТО ЭТО ДАЁТ?

Быстрый трансфер в национальную систему подготовки кадров
Быстрый трансфер в корпоративную систему подготовки кадров
Формирование экспертного сообщества
Разработка механизмов оценки квалификаций
Доступ к международному экспертному сообществу
Презентация и продвижение проекта на национальном и международном уровне
Доступ к партнерам  - ведущим производителям оборудования и поставщикам услуг

КРИТЕРИИ ОТБОРА:

Проект можно интегрировать в систему подготовки кадров
Проект можно интегрировать в систему профессионального образования
Проект можно использовать для профессиональной ориентации

ЧТО НУЖНО СДЕЛАТЬ:
Шаг 1. Определить, представлена ли компетенция в WorldSkills, или это только предстоит? Полный перечень компетенций http://worldskills.ru/techcom/kompetencii/

Если представлена, то подать заявку на участие в отборе. В презентации ответьте на следующие вопросы: «Как я могу помочь развитию компетенции: Расширение экспертного сообщества, Трансформация компетенции, Масштабирование  на новые целевые аудитории.
Если не представлена, перейти к Шагу 2.

Шаг 2. Описать проект как компетенцию. На данном этапе надо собрать ключевую информацию по проекту.
Важно:

Название компетенции
Лидер. В терминологии WorldSkills – главный эксперт, ответственный за развитие компетенции
Актуальность компетенции: почему это важно? кому это важно? есть ли аналоги в мире?
Функционал, составляющий основу компетенции: какие задачи конкурсант (или команда конкурсантов) должен решать, что должен знать, на каком оборудовании или с какими программами должен уметь работать
Как могут выглядеть соревнования по компетенции? Как может выглядеть конкурсное задание? Сколько будут стоить соревнования?
Партнеры: кто из партнеров (образование, бизнес etc) может помочь собирать соревнования и продвигать компетенцию?

* Смотри пример презентации по компетенции
Шаг 3.  Подача заявкии и экспертиза проекта
После подачи заявки её оценивает экспертное сообщество WorldSkills, дает заключение и рекомендации.
Отобранные проекты будут представлены на Рабочей группе экспертного совета АСИ «Развитие молодых профессиональных кадров» для получения официальной поддержки со стороны Агентства.
Шаг 4. Сбор полного пакета конкурсной документации
Когда первичная презентация одобрена экспертным советом, команда проекта разрабатывает пакет конкурсной документации:

Техническое описание

Документ, в котором описаны спецификация Компетенции, объем и содержание работ, процессы разработки, отбора, оценки, внесения изменений (если необходимо) и распространения конкурсного задания, ход соревнований и особые для данной Компетенции требования к технике безопасности

Конкурсное задание

У каждой Компетенции имеется конкурсное задание для соревнований, на примере которого Конкурсанты демонстрируют свое мастерство. Конкурсное задание разрабатывается таким образом, чтобы позволить Конкурсантам продемонстрировать навыки, указанные в техническом описании. Оно должно обеспечивать возможность оценить Конкурсантов путем обеспечения широкого диапазона возможных оценок, а также минимизировать требования к пространству, инфраструктуре и ресурсам

Инфраструктурный лист  

Список материалов и оборудования, предоставляемых Организатором Чемпионата для проведения соревнования по компетенции
* Смотри регламент ввода новой компетенции
Шаг 5.  Демо соревнование
Команда проекта при поддержке АСИ и Союза «Молодые профессионалы (Ворлдскиллс Россия)» собирает демо соревнования.
По факту проведения демо-соревнований команда проекта и эксперты WorldSkills вносят необходимые корректировки в пакет документации по компетенции, после чего ее можно масштабировать в чемпионатные линейки WorldSkills
Контакты:
Агентство стратегических инициатив – Игорь Руженцев, +7-926-209-04-39, io.ruzhentsev@asi.ru
Союз «Ворлдскиллс Россия» – Полина Фёдорова, +7-964-799-05-68, fedorova@worldskills.ru




"
66,https://leader-id.ru/specials/openselection_veb2/,Открытый отбор Внешэкономбанка на позиции сертифицированных менеджеров (2 волна),"







Документы





 Список документов заявителя.docx





Описание вакансий





 Профиль позиции.docx





Материалы





 Программа кандидата (шаблон).ppt








 Требования к заданию эссе «Программа кандидата».doc








 23 пилотных региона в которых отбор завершен.doc







Внешэкономбанк расширяет программу отбора менеджеров в регионах и проводит отбор на позиции до 7 июля 2017г.
К 23 пилотным субъектам* РФ присоединяются еще 62. В регионах, вошедших в пилот, уже завершен первый этап отбора сертифицированных менеджеров.
Институт сертифицированных менеджеров станет одним из основных инструментов формирования широкой воронки региональных проектов в рамках нового инвестиционного процесса ВЭБ. Первичная оценка проектов будет осуществляться непосредственно в регионах менеджерами, которые будут отобраны, а также обучены и сертифицированы ВЭБ (до 3-х менеджеров от региона).
Задачами Сертифицированного менеджера станут:

проактивный поиск и первичная фильтрация проектов в соответствии с требованиями Внешэкономбанка;
взаимодействие с инициаторами проектов в регионе и содействие им в формировании пакета документов;
направление сформированной проектной документации во Внешэкономбанк для принятия решения о финансировании проекта, взаимодействие с ВЭБ на этапах рассмотрения заявки.

Взаимодействие Сертифицированных менеджеров с ВЭБ и инициаторами проектов будет построено на он-лайн платформе «Фабрика проектов развития».
Возможности для Сертифицированного менеджера:

повышение социального и профессионального статуса - новый уровень взаимодействия с первыми лицами в регионе и бизнесом, расширение контактов на федеральном уровне;
возможность стать официальным связующим звеном между регионом и ВЭБ для продвижения крупнейших проектов в регионе;
регулярные встречи с руководством ВЭБ, возможность напрямую обсуждать идеи и проблемы;
общественное признание – возможность привести проект к «Премии развития»;
вклад в личный бренд – статус Сертифицированного менеджера для дальнейшего развития карьеры;
возможность принимать участие в работе экспертных площадок, в том числе организуемых Внешэкономбанком;
участие в программах ВЭБ по развитию персонала;
лучшие менеджеры могут быть зачислены в кадровый резерв ВЭБ 2.0 и присоединиться к команде управляющих существующими и новыми проектами банка.

Детали вознаграждения работы Сертифицированных менеджеров будут обсуждаться на интервью с кандидатами на втором этапе отбора.
Отбор будет проходить в два этапа:

Первый этап – заочный отбор кандидатов – продлится до 7 июля 2017 года;
Второй этап – собеседования с кандидатами – будет проведен в июле-августе 2017г.

 
Для участия в открытом отборе необходимо загрузить резюме, два рекомендательных письма и выполнить задание, которое включает в себя написание эссе и подготовку презентации. Заявка подается только один раз без возможности редактирования.
Более подробную информацию о новой модели Внешэкономбанка по работе с регионами Вы можете узнать из презентации по ссылке http://veb.ru/common/upload/files/veb/main/VEB2ASI.pdf
Команда ВЭБа готова ответить на Ваши вопросы, которые Вы можете направить на электронный адрес: regions@veb.ru
Станьте партнером Внешэкономбанка и развивайте экономику России вместе с нами!
*Заявки из регионов, вошедших в пилот, не принимаются. Перечень пилотных регионов расположен в левой части страницы, в качестве приложения




"
